Id,Title,Magazines publications,Book publications,Post-conference publications,Equipment,Equipment cost,Equipment count,Manager,Managers title,Unit,Voivodeship
2014/13/N/HS6/02613,Neurobiologiczne podłoże reprezentacji Ja u osób z zaburzeniami ze spektrum autyzmu: badanie z wykorzystaniem metody funkcjonalnego rezonansu magnetycznego,2,0,0,,0,0,Hanna Cygan,mgr,Instytut Biologii Doświadczalnej im. M. Nenckiego PAN,mazowieckie
2013/11/N/HS3/04861,"Poza Maya, jego rola i miejsce w historii południowych nizin Majów.",1,1,0,,0,0,Magdalena Rusek-Karska,mgr,"Uniwersytet Jagielloński, Wydział Historyczny",małopolskie
2014/15/N/HS2/03913,"Bruno Schulz w języku angielskim 1958-2016. Analiza porównawcza przekładów, ich historii oraz recepcji",4,1,0,Zewnętrzny dysk twardy do przechowywania danych,259,1,Zofia Ziemann,mgr,"Uniwersytet Jagielloński, Wydział Filologiczny",małopolskie
2013/11/N/HS4/03210,Potencjał i atrakcyjność inwestycyjna wybranych miast Polski w sektorze BPO/SSC,4,0,0,Notebook,3415,1,Katarzyna Budzyńska,mgr inż.,"Uniwersytet Marii Curie-Skłodowskiej, Wydział Ekonomiczny",lubelskie
2013/11/N/HS2/03555,Dynamika wariantu - status tekstologiczny wierszy Czesława Miłosza i jego konsekwencje interpretacyjne,0,2,0,Laptop,4398,1,Paweł Bem,mgr,Instytut Badań Literackich PAN,mazowieckie
2013/11/N/HS6/01786,Neuronalne mechanizmy procesu intencjonalnego zapominania w kontekście emocji podstawowych,3,0,0,Komputer wraz z oprogramowaniem,6000,1,Małgorzata Wierzba,mgr,Instytut Biologii Doświadczalnej im. M. Nenckiego PAN,mazowieckie
2014/13/N/HS6/02963,Wpływ świadomości interoceptywnej na zdolności metapoznawcze w zadaniu percepcji okołoprogowych bodźców wzrokowych.,2,0,0,"komputer przenośny z akcesoriami, bezprzewodowy dysk zewnętrzny 1TB, elektrokariograf (5 szt.)",10536,3,Marta Łukowska,dr,"Uniwersytet Jagielloński, Wydział Filozoficzny",małopolskie
2015/17/N/HS3/01279,Wydobywanie i przetwórstwo krzemienia czekoladowego w paleolicie i mezolicie w północno-zachodniej strefie jego złóż w oparciu o wyniki nieinwazyjnych i sondażowych badań archeologicznych i geofizycznych.,1,1,9,,0,0,Katarzyna Kerneder-Gubała,mgr,Instytut Archeologii i Etnologii PAN,mazowieckie
2014/15/N/HS5/01852,Zasada nullum crimen sine lege w systemie demokratycznego państwa prawa. Badania prawnoporównawcze w oparciu o europejski system konwencyjny,3,0,0,,0,0,Aleksandra Rychlewska-Hotel,mgr,"Uniwersytet Jagielloński, Wydział Prawa i Administracji",małopolskie
2013/11/N/HS1/04776,Pojęcie intencji na gruncie współczesnej analitycznej filozofii działania,0,0,0,,0,0,Marta Zaręba,mgr,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii",mazowieckie
2013/11/N/HS2/03302,"Fuga jako figura podmiotowości w literaturze nowoczesnej (Joyce, Cortazar, Szostak)",0,0,0,,0,0,Joanna Barska,mgr,"Uniwersytet Warszawski, Wydział Polonistyki",mazowieckie
2013/11/N/HS2/03313,ZMIANA STATUSU ZWIERZĄT W SZTUCE WSPÓŁCZESNEJ,0,0,0,,0,0,Dorota Łagodzka,mgr,"Uniwersytet Warszawski, Wydział ""Artes Liberales""",mazowieckie
2013/11/N/HS3/04734,Spory o dziesięciny pomiędzy świeckimi a duchowieństwem katolickim na obszarze ziemi bielskiej województwa podlaskiego w XVI-XVIII wieku. Prawo - praktyka - przyczyny i skutki napięć,0,0,0,,0,0,Łukasz Gołaszewski,mgr,"Uniwersytet Warszawski, Wydział Prawa i Administracji",mazowieckie
2013/11/N/HS4/03179,Uwarunkowania adaptacji pracowniczej w międzynarodowym środowisku pracy,0,0,0,,0,0,Iwona Kubica,mgr,"Uniwersytet Ekonomiczny w Krakowie, Wydział Ekonomii i Stosunków Międzynarodowych",małopolskie
2013/11/N/HS4/03237,Modele internacjonalizacji przedsiębiorstw e-commerce,0,0,0,,0,0,Magdalena Grochal-Brejdak,mgr,"Uniwersytet Ekonomiczny w Katowicach, Wydział Zarządzania",śląskie
