id,type,edition,subpanel,budget,duration,coinvestigators,title,magazines publications,book publications,post-conference publications,equipment,equipment cost,equipment count,sex,manager,managers title,unit,voivodeship
2013/11/N/ST5/01930,PRELUDIUM,6,ST5,99480,30,3,Wpływ czynników strukturalnych na równowagi fazowe układów z terpenami i terpenoidami.,3,0,0,Termostat Chłodzący,28986,1,1,Marcin Okuniewski,mgr inż.,"Politechnika Warszawska",mazowieckie
2013/09/N/ST8/02042,PRELUDIUM,5,ST8,149500,36,3,Kształtowanie strefy ciekło-stałej w monokrystalicznych odlewach z nadstopów niklu poprzez zmianę gradientu temperatury,4,0,0,,0,0,1,Dariusz Szeliga,dr inż.,"Politechnika Rzeszowska",podkarpackie
2013/11/N/HS5/04106,PRELUDIUM,6,HS5,48840,12,3,Handlowe aspekty własności intelektualnej a wspólna polityka handlowa. Problem kompetencji wyłącznych UE w odniesieniu do zdolności patentowej wynalazków według artykułu 27 Porozumienia w sprawie handlowych aspektów własności intelektualnej (TRIPS),3,0,0,,0,0,0,Anna Wilińska-Zelek,mgr,"Uniwersytet im. Adama Mickiewicza w Poznaniu",wielkopolskie
2013/09/N/ST8/02084,PRELUDIUM,5,ST8,145600,36,3,"Wpływ wstępnego pełzania na charakterystyki zmęczeniowe superstopu niklu - analiza na podstawie zmian mikrostruktury, właściwości mechanicznych oraz parametrów metod nieniszczących",0,0,0,,0,0,0,Katarzyna Makowska,mgr inż.,"Instytut Transportu Samochodowego",mazowieckie
2013/09/N/ST8/04164,PRELUDIUM,5,ST8,150000,36,3,Mikrostruktura i własności mechaniczne metali o strukturze A1 odkształcanych w warunkach złożonych odkształceń plastycznych.,0,0,0,,0,0,0,Agnieszka Uniwersał,mgr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2015/17/N/ST7/03934,PRELUDIUM,9,ST7,47000,12,2,Bariera blokująca ucieczkę elektronów i jej wpływ na parametry azotkowych emiterów światła.,2,0,0,Komputer przenośny,4918,1,0,Agata Bojarska,mgr inż.,"Instytut Wysokich Ciśnień PAN",mazowieckie
2013/09/N/ST8/04165,PRELUDIUM,5,ST8,98800,24,3,Dobór i szczegółowa analiza warunków kierunkowej teksturyzacji powierzchni fotowoltaicznego krzemu krystalicznego w celu poprawy własności optoelektronicznych.,0,0,0,,0,0,0,Grażyna Kulesza,mgr inż.,"Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego PAN",małopolskie
2013/09/N/ST8/04171,PRELUDIUM,5,ST8,149994,36,3,Ocena wpływu ilości i formy dodatków Ag i Au na właściwości antybakteryjne i biozgodność nowych materiałów kompozytowych typu cementowego.,0,0,0,,0,0,0,Dominika Siek,mgr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2013/11/N/NZ6/03097,PRELUDIUM,6,NZ6,100000,24,3,Gatunki i szczepy Mycobacterium o różnym składzie ściany komórkowej: rola receptorów wzorców obcości w aktywacji nieswoistej odpowiedzi odpornościowej,1,0,0,,0,0,0,Iwona Karwaciak,mgr inż.,"Instytut Biologii Medycznej PAN",łódzkie
2013/09/N/ST8/04286,PRELUDIUM,5,ST8,99700,24,3,Membrany polimerowe do perwaporacji hydrofobowej - wpływ warunków formowania oraz modyfikacji powierzchniowej membran na ich właściwości transportowo-selektywne w perwaporacyjnym usuwaniu lotnych związków organicznych z wody,0,0,0,,0,0,0,Anna Rozicka,mgr,"Uniwersytet Mikołaja Kopernika",kujawsko-pomorskie
2014/13/N/ST2/02712,PRELUDIUM,7,ST2,99320,24,3,Precyzyjne poprawki do czasu życia próżni w Modelu Standardowym i jego rozszerzeniach,8,0,3,,0,0,1,Marek Lewicki,mgr,"Uniwersytet Warszawski",mazowieckie
2013/09/N/ST8/04333,PRELUDIUM,5,ST8,150000,36,3,Dobór powierzchni odniesienia w pomiarach struktury geometrycznej,0,0,0,,0,0,1,Przemysław Podulka,mgr inż.,"Politechnika Rzeszowska",podkarpackie
2014/13/N/ST6/03029,PRELUDIUM,7,ST6,74880,18,2,Od niejednostajnych danych dyskowych do uwierzytelniania odpornego na wycieki,1,0,1,,0,0,1,Michał Zając,mgr,"Uniwersytet Warszawski",mazowieckie
2013/09/N/ST8/04347,PRELUDIUM,5,ST8,149682,36,3,Analiza możliwości kształtowania właściwości luminescencyjnych kompozytowych źródeł światła białego na bazie materiałów polimerowych,0,0,0,,0,0,0,Anna Jusza,mgr inż.,"Politechnika Warszawska",mazowieckie
2015/17/N/ST5/01951,PRELUDIUM,9,ST5,50000,12,2,Nowe polimerosomy zbudowane z pary mocnych polielektrolitów blokowych - właściwości i zastosowanie jako nośniki substancji,2,0,0,mieszadło magnetyczne z grzaniem,3886,1,0,Urszula Kwolek,dr,"Uniwersytet Jagielloński",małopolskie
2014/13/N/ST5/01591,PRELUDIUM,7,ST5,99600,24,2,Badania nad syntezą nowoodkrytej cyklicznej N6-treonylokarbamoiloadenozyny (ct6A) i jej analogów oraz nad wprowadzeniem ct6A w łańcuch oligorybonukleotydu,3,0,0,Semi-preparatywna kolumna HPLC (Waters),6656,1,1,Michał Matuszewski,mgr inż.,"Politechnika Łódzka",łódzkie
2013/09/N/ST9/02532,PRELUDIUM,5,ST9,59480,24,2,Badanie regularnego pola magnetycznego w Kwintecie Stephana,0,0,0,,0,0,1,Błażej Nikiel-Wroczyński,mgr,"Uniwersytet Jagielloński",małopolskie
2013/11/N/NZ7/00765,PRELUDIUM,6,NZ7,98800,24,2,Ocena właściwości biologicznych pochodnych tiosemikarbazydów o zdefiniowanej aktywności antybakteryjnej,1,0,0,,0,0,0,Aleksandra Strzelczyk,mgr,"Uniwersytet Łódzki",łódzkie
2014/13/N/HS3/04533,PRELUDIUM,7,HS3,44265,24,2,Administracja lokalna u schyłku I Rzeczpospolitej. Komisje Porządkowe Cywilno-Wojskowe województwa krakowskiego w dobie Sejmu Wielkiego.,2,4,1,,0,0,1,Przemysław Jędrzejewski,mgr,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",małopolskie
2014/13/N/HS1/00840,PRELUDIUM,7,HS1,68400,24,2,Świadomość poza teatrem kartezjańskim: współczesne antykartezjańskie teorie świadomości,2,0,0,,0,0,0,Kinga Jęczmińska,mgr,"Uniwersytet Warszawski",mazowieckie
2014/13/N/HS3/04616,PRELUDIUM,7,HS3,53820,24,2,Dwa nieopublikowane zwoje papirusowe z kolekcji w Giessen (P.Giss. inv. 59 i P.Giss. inv. 216): Rekonstrukcja i edycja wraz z komentarzem.,0,1,0,,0,0,1,Marcin Kotyl,mgr,"Uniwersytet Wrocławski",mazowieckie
2014/13/N/ST1/02673,PRELUDIUM,7,ST1,87135,24,2,Odpowiedniość Ogusa-Vologodsky'ego dla rozmaitości osobliwych,3,0,0,Laptop,3999,1,1,Maciej Zdanowicz,mgr,"Uniwersytet Warszawski",mazowieckie
2014/13/N/HS4/02954,PRELUDIUM,7,HS4,78880,24,3,Wpływ innowacji na wartość przedsiębiorstw hotelarskich,4,1,1,laptop,3444,1,1,Dawid Szutowski,mgr,"Uniwersytet Ekonomiczny w Poznaniu",wielkopolskie
2013/11/N/HS4/03194,PRELUDIUM,6,HS4,39960,24,2,Ekonomiczne determinanty rozwoju sektora biopaliw płynnych w Polsce i Niemczech po 2004 roku. Próba porównania.,4,1,0,,0,0,1,Michał Borychowski,mgr,"Uniwersytet Ekonomiczny w Poznaniu",wielkopolskie
2013/11/N/ST2/04214,PRELUDIUM,6,ST2,85800,24,2,Badanie stabilności próżni w modelach z dwoma dubletami pól Higgsa,3,0,0,,0,0,0,Bogumiła Świeżewska,dr,"Uniwersytet Warszawski",mazowieckie
2014/13/N/HS6/02613,PRELUDIUM,7,HS6,100000,24,2,Neurobiologiczne podłoże reprezentacji Ja u osób z zaburzeniami ze spektrum autyzmu: badanie z wykorzystaniem metody funkcjonalnego rezonansu magnetycznego,2,0,0,,0,0,0,Hanna Cygan,mgr,"Instytut Biologii Doświadczalnej PAN",mazowieckie
2013/11/N/ST5/01612,PRELUDIUM,6,ST5,147320,36,2,"Zmodyfikowane palladowe katalizatory typu PEPPSI, synteza, reaktywność i aktywność katalityczna w reakcjach sprzęgania i wybranych przekształceniach olefin i acetylenów",3,0,7,"Rotacyjna pompa próżniowa, Kolumna do chromatografu gazowego (Megabore 0.53 mm, 30 m), Linia próżniowo-gazowa",18545,3,0,Sylwia Ostrowska,mgr inż.,"Uniwersytet im. Adama Mickiewicza w Poznaniu",wielkopolskie
2014/15/N/ST5/01980,PRELUDIUM,8,ST5,98520,24,2,Cienkie warstwy hydrożelowe-modyfikacja powierzchni elektrod oraz ich elektrochemiczna charakterystyka,3,0,0,"Termostat programowalny, Komputer",23469,2,0,Klaudia Kaniewska,mgr,"Uniwersytet Warszawski",mazowieckie
2014/15/N/ST7/04881,PRELUDIUM,8,ST7,99600,24,2,Rozwój metody transformacji Hilberta-Huanga na potrzeby metrologii optycznej,5,0,4,,0,0,1,Maciej Trusiak,mgr inż.,"Politechnika Warszawska",mazowieckie
2013/11/N/ST5/01391,PRELUDIUM,6,ST5,149960,36,2,Badania układu warstwowego metal/ceramika w podwójnej atmosferze reakcyjnej Ar-H2-H2O/powietrze z przeznaczeniem na interkonektory metaliczne do ogniw paliwowych SOFC,4,0,0,"Szlifierko-polerka metalograficzna z głowicą, Multimetr stołowy ze złączem USB umożliwiającym przesyłanie danych pomiarowych do komputera, Układ badawczy ze szkła kwarcowego do badań w podwójnej atmosferze w warunkach pracy cyklicznej",44320,3,1,Mirosław Stygar,dr inż.,"Akademia Górniczo-Hutnicza w Krakowie",małopolskie
2014/13/N/NZ2/03721,PRELUDIUM,7,NZ2,70434,24,2,Stochastyczne zmiany fenotypu dzielących się bakterii,1,0,0,,0,0,0,Joanna Jaruszewicz-Błońska,dr,"Instytut Podstawowych Problemów Techniki PAN",mazowieckie
2013/11/N/NZ7/00738,PRELUDIUM,6,NZ7,99970,24,3,Modyfikowane pochodne chlorofili i ich hybrydowe koniugaty z RNA dla współczesnej fotomedycyny,2,0,0,,0,0,1,Michał Kotkowiak,mgr inż.,"Politechnika Poznańska",wielkopolskie
2014/15/N/ST7/05290,PRELUDIUM,8,ST7,99980,24,2,Półprzewodnikowe lasery dyskowe dostosowane do generacji promieniowania z zakresu średniej podczerwieni,3,2,5,Zestaw komputerowy,6180,1,1,Adam Sokół,mgr inż.,"Politechnika Łódzka",łódzkie
2014/15/N/ST7/05067,PRELUDIUM,8,ST7,92729,24,3,Nowy 5-cio poziomowy przekształtnik kaskadowy sterowany metodą predykcyjną zasilany z pojedynczego źródła napięcia stałego.,2,0,1,Stanowisko komputerowe,7293,1,1,Paweł Wiatr,mgr inż.,"Instytut Elektrotechniki",mazowieckie
2013/11/N/ST5/02751,PRELUDIUM,6,ST5,149980,36,2,Synteza i badania strukturalne materiałów kompozytowych MCM-48/nano-HA/lek cytostatyczny,1,0,1,"Homogenizator ultradzwiękowey, Rotory MAS NMR (2 szt.), Łaźnia olejowa, Pompa Perystatyczna (2 szt.), Termostatowana łażnia wodna z możliwością wytrząsania",38164,5,1,Łukasz Pajchel,dr,"Warszawski Uniwersytet Medyczny",mazowieckie
2015/17/N/ST5/03352,PRELUDIUM,9,ST5,49999,12,2,Pulsowe elektroosadzanie nowych stopów powstających w procesie indukowanego współosadzania wolframu z miedzią oraz charakteryzacja organizacji wewnętrznej otrzymanych materiałów,2,1,0,,0,0,1,Paweł Bącal,mgr,"Uniwersytet Warszawski",mazowieckie
2013/11/N/ST6/03065,PRELUDIUM,6,ST6,122486,36,2,Opracowanie metod pobierania wiedzy z Powiązanych Danych,2,2,4,,0,0,1,Jędrzej Potoniec,mgr inż.,"Politechnika Poznańska",wielkopolskie
2014/15/N/ST5/02937,PRELUDIUM,8,ST5,98200,24,2,"Wielofunkcyjne układy typu Core - Shell na bazie ""inteligentnych"" mikrożeli polimerowych do kontrolowanego uwalniania substancji czynnych",3,0,0,Wirówka,24995,1,1,Marcin Maćkiewicz,mgr,"Uniwersytet Warszawski",mazowieckie
2013/11/N/HS2/03523,PRELUDIUM,6,HS2,79321,24,2,Kategoria materialności w poezji R.S. Thomasa,2,3,0,"Laptop, Aparat fotograficzny",4232,2,0,Joanna Soćko,mgr,"Uniwersytet Śląski",śląskie
2013/11/N/ST6/02993,PRELUDIUM,6,ST6,78000,30,2,Nowy algorytm dla problemu składania genomu de novo oparty o strategię UCT (Upper Confidence Bounds applied to Trees),0,0,0,,0,0,0,Ewa Matczyńska,mgr,"Uniwersytet Jagielloński",małopolskie
2013/11/N/HS3/04760,PRELUDIUM,6,HS3,150000,36,2,Obrządek pogrzebowy i struktura społeczna społeczności neolitycznych z przełomu V i IV tysiąclecia przed Chr. na przykładzie dolnośląskiej enklawy kultury jordanowskiej,2,3,1,"Laptop o minimalnych parametrach: procesor i5 2,3 GHz, 8 GB ram, dysk twardy 500 GB, wydajna karta graficzna z trybem HD, rozdzielczośc ekranu 1600x900.",4148,1,0,Marta Mozgała-Swacha,mgr,"Uniwersytet Wrocławski",dolnośląskie
2014/15/N/HS2/03905,PRELUDIUM,8,HS2,67144,24,2,Architektura jako środek reprezentacji władzy monarszej w Małopolsce doby jednoczenia i konsolidacji Królestwa Polskiego 1243-1370,3,2,3,,0,0,1,Piotr Pajor,mgr,"Uniwersytet Jagielloński",małopolskie
2014/15/N/ST1/02102,PRELUDIUM,8,ST1,58450,24,2,Geometryczne i analityczne własności brył Okounkova,11,0,1,Laptop z sytemem operacyjnym typu Windows wraz z podstawowymi akcesoriami i oprogramowaniem matematycznym,3741,1,1,Piotr Pokora,mgr,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",małopolskie
2014/15/N/ST1/02124,PRELUDIUM,8,ST1,63800,24,2,Zagadnienia spektralne w algebrach Banacha.,4,0,0,Komputer osobisty - laptop.,4999,1,1,Przemysław Ohrysko,mgr,"Instytut Matematyczny PAN",mazowieckie
2014/13/N/ST5/01255,PRELUDIUM,7,ST5,117000,30,2,Wytwarzanie i charakteryzacja cienkich warstw nanorurek węglowych,4,0,0,,0,0,0,Anna Dużyńska,mgr,"Politechnika Warszawska",mazowieckie
2014/13/N/ST1/02640,PRELUDIUM,7,ST1,97370,30,2,Lokalna geometria schematu Hilberta punktów i jej zastosowania,6,2,0,,0,0,1,Joachim Jelisiejew,mgr,"Uniwersytet Warszawski",mazowieckie
2014/15/N/HS2/03844,PRELUDIUM,8,HS2,90180,24,2,Aktorstwo w teatrach studyjnych inspirujących się pracą Jerzego Grotowskiego w Polsce i we Włoszech,2,1,0,"kamera z wbudowaną funkcją robienia zdjęć, laptop z oprogramowaniem",7185,2,0,Agnieszka Pietkiewicz,mgr,"Uniwersytet im. Adama Mickiewicza w Poznaniu",wielkopolskie
2013/11/N/NZ7/00380,PRELUDIUM,6,NZ7,99250,24,2,Ocena obecności patogenów w historycznych populacjach Polski,2,0,1,"Sprzęt komputerowy wraz z oprogramowaniem, Wirnik (rotor do wirówki)",8439,2,0,Magda Lewandowska,mgr,"Uniwersytet Medyczny w Łodzi",łódzkie
2013/11/N/ST5/02004,PRELUDIUM,6,ST5,148720,36,3,Spektroskopia elektroaktywnych półprzewodników organicznych typu donor-akceptor opartych o rdzeń triazyny,2,0,0,,0,0,1,Paweł Zassowski,mgr inż.,"Politechnika Śląska",śląskie
2013/11/N/HS5/04220,PRELUDIUM,6,HS5,93600,24,2,"Dysfunkcyjność państwa w Afryce Luzofońskiej - przyczyny, przejawy, możliwe rozwiązania",2,4,0,,0,0,0,Joanna Mormul,dr,"Uniwersytet Jagielloński",małopolskie
2013/11/N/ST7/02826,PRELUDIUM,6,ST7,149890,36,2,Zjawisko sprzęgania modów Blocha w podfalowych strukturach periodycznych jako nowy trójwymiarowy sposób ograniczenia optycznego w laserach typu VCSEL,5,0,3,,0,0,1,Marcin Gębski,mgr inż.,"Politechnika Łódzka",łódzkie
