,type,edition,subpanel_code,budget_numeric,duration_numeric,coinvestigators_numeric
329,PRELUDIUM,1,NZ9,164338,36,4
330,PRELUDIUM,1,NZ9,368000,36,4
331,PRELUDIUM,1,NZ9,120000,24,2
332,PRELUDIUM,1,NZ9,295000,36,4
333,PRELUDIUM,1,NZ9,104000,30,2
334,PRELUDIUM,1,NZ9,198000,24,4
335,PRELUDIUM,1,NZ9,58860,24,2
336,PRELUDIUM,1,NZ9,73850,16,2
337,PRELUDIUM,1,NZ9,133100,24,2
338,PRELUDIUM,1,NZ9,120370,12,2
339,PRELUDIUM,1,NZ9,175980,24,4
340,PRELUDIUM,1,NZ9,108800,24,3
341,PRELUDIUM,1,NZ9,198000,24,2
342,PRELUDIUM,1,NZ9,130000,23,4
343,PRELUDIUM,1,NZ9,53000,12,3
344,PRELUDIUM,1,NZ9,99125,20,2
345,PRELUDIUM,1,NZ9,243000,24,7
346,PRELUDIUM,1,NZ9,234000,36,4
347,PRELUDIUM,1,NZ9,49400,9,2
348,PRELUDIUM,1,NZ9,83625,24,2
349,PRELUDIUM,1,NZ9,364000,24,2
350,PRELUDIUM,1,ST10,41522,24,1
351,PRELUDIUM,1,ST10,65000,18,2
352,PRELUDIUM,1,ST10,48590,18,2
353,PRELUDIUM,1,ST10,65800,18,3
354,PRELUDIUM,1,ST10,74979,18,2
355,PRELUDIUM,1,ST10,89810,24,5
356,PRELUDIUM,1,ST10,186600,36,2
357,PRELUDIUM,1,ST10,99406,24,2
358,PRELUDIUM,1,ST10,20150,36,2
359,PRELUDIUM,1,ST10,94480,24,1
360,PRELUDIUM,1,ST10,53741,32,2
361,PRELUDIUM,1,ST10,59150,24,2
362,PRELUDIUM,1,ST10,47580,36,2
363,PRELUDIUM,1,ST10,59548,20,2
364,PRELUDIUM,1,ST10,185100,24,2
365,PRELUDIUM,1,ST10,67990,24,2
366,PRELUDIUM,1,ST10,55900,24,3
367,PRELUDIUM,1,ST10,228200,30,2
368,PRELUDIUM,1,ST10,60970,18,2
369,PRELUDIUM,1,ST10,46700,12,2
370,PRELUDIUM,1,ST10,207980,36,3
371,PRELUDIUM,1,ST10,156585,24,3
372,PRELUDIUM,1,ST10,120900,24,4
373,PRELUDIUM,1,ST10,92700,18,2
374,PRELUDIUM,1,ST10,200200,18,2
375,PRELUDIUM,1,ST10,240000,36,2
376,PRELUDIUM,1,ST10,135200,24,2
377,PRELUDIUM,1,ST10,296760,36,3
378,PRELUDIUM,1,ST10,46475,35,2
379,PRELUDIUM,1,ST10,100000,24,2
380,PRELUDIUM,1,ST10,141000,36,5
381,PRELUDIUM,1,ST10,165000,30,5
382,PRELUDIUM,1,ST10,162630,24,2
383,PRELUDIUM,1,ST10,41550,24,2
384,PRELUDIUM,1,ST10,159450,36,2
385,PRELUDIUM,1,ST10,83900,24,4
386,PRELUDIUM,1,ST10,39542,25,2
387,PRELUDIUM,1,ST10,66570,24,2
388,PRELUDIUM,1,ST1,97300,30,2
389,PRELUDIUM,1,ST1,54270,24,2
390,PRELUDIUM,1,ST1,43680,24,2
391,PRELUDIUM,1,ST1,29050,12,2
392,PRELUDIUM,1,ST1,96270,30,2
393,PRELUDIUM,1,ST1,68900,24,2
394,PRELUDIUM,1,ST1,93200,36,2
