Id,Descriptors
2014/13/N/HS3/04441,HS3_2
2014/13/N/HS3/04441,HS3_1
2014/13/N/HS3/04441,HS3_7
2013/11/N/HS5/04212,HS5_1
2014/13/N/HS2/02923,HS2_8
2014/13/N/HS3/04630,HS3_8
2015/17/N/HS2/03215,HS2_6
2015/17/N/HS2/03215,HS6_1
2015/17/N/HS4/00205,HS4_14
2015/17/N/HS4/00205,HS4_9
2015/17/N/HS4/00205,HS5_8
2013/11/N/HS1/04815,HS1_1
2013/11/N/HS1/04815,HS1_3
2013/11/N/HS1/04815,HS1_9
2013/11/N/HS1/04817,HS1_3
2013/11/N/HS1/04817,HS1_6
2013/11/N/HS1/04817,HS1_8
2013/11/N/HS3/04571,HS3_2
2013/11/N/HS3/04571,HS3_5
2013/11/N/HS3/04571,HS3_11
2013/11/N/HS3/04697,HS3_8
2013/11/N/HS5/04066,HS5_3
2013/11/N/HS5/04066,HS4_6
2013/11/N/HS6/01122,HS6_2
2013/11/N/HS6/01122,HS6_6
2013/11/N/HS6/01122,HS6_1
2013/11/N/HS6/01183,HS6_2
2013/11/N/HS6/01183,HS6_20
2013/11/N/HS6/01321,HS6_1
2015/17/N/HS3/00052,HS3_8
2015/17/N/HS4/02108,HS4_2
2015/17/N/HS4/02108,HS4_9
2014/13/N/HS1/00816,HS1_2
2014/13/N/HS1/00816,HS1_7
2014/13/N/HS1/00816,HS5_6
2015/17/N/HS3/00511,HS3_11
2014/13/N/HS2/02900,HS2_14
2014/13/N/HS2/02900,HS2_2
2014/13/N/HS3/04425,HS3_1
2014/13/N/HS3/04425,HS3_12
2014/13/N/HS3/04425,HS3_13
2014/13/N/HS3/04592,NZ8_4
2014/13/N/HS3/04592,HS3_8
2014/13/N/HS3/04592,ST10_15
2014/13/N/HS4/02100,HS4_11
2014/13/N/HS4/02100,HS4_10
2014/13/N/HS4/02100,HS5_9
2014/13/N/HS5/01095,HS5_5
2014/13/N/HS5/01137,HS5_1
2014/13/N/HS5/01278,HS5_1
2014/15/N/HS2/03858,HS2_12
2014/15/N/HS2/03858,HS2_8
2014/15/N/HS2/03858,HS2_14
2014/15/N/HS6/04129,HS6_20
2014/15/N/HS6/04129,HS6_18
2015/17/N/HS6/02897,HS6_6
2015/17/N/HS6/02897,HS6_1
2015/17/N/HS3/00158,ST10_15
2015/17/N/HS3/00158,ST10_8
2015/17/N/HS3/00158,HS3_8
2015/17/N/HS4/01529,HS4_13
2015/17/N/HS4/01529,HS4_16
2015/19/N/HS2/03395,HS2_6
2015/19/N/HS2/03430,HS2_13
2015/19/N/HS2/03430,HS2_14
2015/19/N/HS2/03430,HS2_10
2015/19/N/HS2/03503,HS2_9
2015/19/N/HS2/03503,HS3_7
2015/19/N/HS2/03503,ST10_5
2015/19/N/HS3/02153,HS3_8
2015/19/N/HS3/02471,HS3_1
2015/19/N/HS4/00359,HS4_14
2015/19/N/HS4/00359,HS4_16
2015/19/N/HS4/02586,HS4_5
2015/19/N/HS4/02586,HS4_14
2015/19/N/HS4/02586,HS4_15
2015/19/N/HS4/03031,HS4_5
2015/19/N/HS4/03031,HS4_16
2015/19/N/HS4/03031,NZ9_13
2015/19/N/HS5/00028,HS5_7
2015/19/N/HS5/00028,HS5_11
2015/19/N/HS5/01229,HS5_10
2015/19/N/HS5/01229,HS5_11
2015/19/N/HS5/01229,HS5_7
2015/19/N/HS5/01231,HS5_5
2015/19/N/HS5/01231,HS5_1
2015/19/N/HS5/01231,HS5_11
2015/19/N/HS5/03309,HS5_5
2015/19/N/HS5/03309,HS4_6
2015/19/N/HS5/03309,HS5_11
2015/19/N/HS5/03316,HS5_2
2015/19/N/HS5/03316,HS1_12
2015/19/N/HS5/03316,HS1_9
2015/19/N/HS6/00783,HS6_15
2015/19/N/HS6/00783,HS6_16
2015/19/N/HS6/00783,HS6_20
2015/19/N/HS6/03236,HS6_1
2015/19/N/HS6/03236,HS6_5
2016/21/N/HS2/02608,HS2_5
2016/21/N/HS2/02676,HS2_11
2016/21/N/HS3/00904,HS3_1
2016/21/N/HS3/02926,HS3_8
2016/21/N/HS3/02935,HS3_2
2016/21/N/HS3/02935,HS6_14
2016/21/N/HS3/02935,HS6_16
2016/21/N/HS4/02094,HS4_2
2016/21/N/HS4/02094,HS4_3
2016/21/N/HS4/02094,HS4_8
2016/21/N/HS4/02109,HS4_8
2016/21/N/HS4/02109,HS4_2
2016/21/N/HS4/02839,HS4_9
2016/21/N/HS4/02839,HS4_10
2016/21/N/HS5/00141,HS5_4
2016/21/N/HS5/00141,HS5_2
2016/21/N/HS5/00141,HS5_1
2016/21/N/HS5/02033,HS5_1
2016/21/N/HS5/02033,HS5_3
2016/21/N/HS5/02033,HS5_11
2016/21/N/HS6/02824,HS6_3
2016/21/N/HS6/02845,HS6_1
2016/21/N/HS6/02845,HS6_4
2016/21/N/HS6/02845,HS6_11
2016/21/N/HS6/02857,HS6_1
2016/23/N/HS1/02180,HS1_3
2016/23/N/HS1/02180,HS1_2
2016/23/N/HS1/02180,HS1_6
2016/23/N/HS1/02397,HS1_5
2016/23/N/HS1/02397,HS5_6
2016/23/N/HS2/01857,HS2_1
2016/23/N/HS3/00666,HS3_8
2016/23/N/HS3/00819,HS3_8
2016/23/N/HS3/00819,HS3_12
2016/23/N/HS3/00841,HS3_11
2016/23/N/HS3/00841,HS2_8
2016/23/N/HS4/01897,HS4_3
2016/23/N/HS4/01897,HS4_6
2016/23/N/HS4/01931,HS4_5
2016/23/N/HS4/01931,HS4_9
2016/23/N/HS4/01931,HS4_8
2016/23/N/HS4/01982,HS4_9
2016/23/N/HS4/02015,HS4_1
2016/23/N/HS4/03390,HS4_15
2016/23/N/HS4/03410,HS4_9
2016/23/N/HS4/03410,HS4_3
2016/23/N/HS4/03410,HS4_7
2016/23/N/HS4/03626,HS4_10
2016/23/N/HS4/03626,HS4_1
2016/23/N/HS4/03637,HS4_3
2016/23/N/HS4/03637,HS4_10
2016/23/N/HS4/03827,HS4_4
2016/23/N/HS4/03827,HS5_9
2016/23/N/HS5/00157,HS5_3
2016/23/N/HS5/00157,HS5_5
2016/23/N/HS5/00157,HS4_2
2016/23/N/HS5/00952,HS5_1
2016/23/N/HS5/01743,HS5_2
2016/23/N/HS5/01743,HS5_6
2016/23/N/HS5/01743,HS5_7
2016/23/N/HS6/00502,HS6_17
2016/23/N/HS6/00502,HS6_15
2016/23/N/HS6/00799,HS5_9
2016/23/N/HS6/00799,HS6_19
2016/23/N/HS6/00799,HS6_14
2016/23/N/HS6/00829,HS6_1
2016/23/N/HS6/00829,HS6_5
2016/23/N/HS6/00844,HS6_5
2016/23/N/HS6/00846,HS6_1
2016/23/N/HS6/02897,HS6_1
2016/23/N/HS6/02897,HS6_3
2016/23/N/HS6/02920,HS6_1
2017/25/N/HS1/00705,HS1_2
2017/25/N/HS1/00705,HS1_4
2017/25/N/HS1/01710,HS2_14
2017/25/N/HS1/01710,HS1_8
2017/25/N/HS1/01710,HS1_5
2017/25/N/HS1/03019,HS1_4
2017/25/N/HS3/00131,HS3_1
2017/25/N/HS3/00131,HS3_3
2017/25/N/HS3/00284,HS3_3
2017/25/N/HS3/00284,HS3_2
2017/25/N/HS3/00284,HS6_14
2017/25/N/HS3/00315,HS3_11
2017/25/N/HS4/01055,HS4_5
2017/25/N/HS4/01055,HS4_8
2017/25/N/HS4/01055,HS4_16
2017/25/N/HS4/01424,HS4_13
2017/25/N/HS4/01424,HS4_1
2017/25/N/HS4/01424,HS4_3
2017/25/N/HS4/02037,HS4_9
2017/25/N/HS4/02037,HS4_8
2017/25/N/HS4/02037,HS6_1
2017/25/N/HS5/01623,HS5_9
2017/25/N/HS5/01623,HS6_19
2017/25/N/HS5/02639,HS5_5
2017/25/N/HS6/00004,HS6_3
2017/25/N/HS6/01169,HS6_13
2017/25/N/HS6/01319,HS6_3
2017/25/N/HS6/01365,HS6_3
2017/25/N/HS6/01365,HS6_2
2017/25/N/HS6/01365,HS6_1
2017/25/N/HS6/02392,HS6_20
2017/25/N/HS6/02392,HS6_2
2017/25/N/HS6/02392,HS6_21
2017/27/N/HS2/02476,HS2_8
